gardiner_code,category_letter,category_name,english_name,phonetic_value,type,primary_meaning,secondary_meanings,common_contexts,notes,status,review_note
A56,A,Man and his occupations,Variant male figure A56,none,determinative,uncertain — variant male figure,alternate form,uncertain or supplemental contexts,uncertain; may be alternate for earlier A-series signs; rare or absent in standard Middle Egyptian; possibly regional variant,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
A57,A,Man and his occupations,Variant male figure A57,none,determinative,uncertain — variant male figure,alternate form,uncertain or supplemental contexts,uncertain variant sign; rare in standard texts; may be period or regional variant,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
A58,A,Man and his occupations,Variant male figure A58,none,determinative,uncertain — variant male figure,alternate form,uncertain or supplemental contexts,uncertain variant sign; rare,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
A60,A,Man and his occupations,Additional male figure variant A60,none,determinative,uncertain — additional male variant,alternate form,variant or supplemental contexts,uncertain; possible later addition or regional variant; not clearly documented in standard Gardiner 1957 list,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
B11,B,Woman and her occupations,Variant seated woman figure B11,none,determinative,uncertain — woman variant,female form,variant or supplemental contexts,uncertain variant sign; added after Gardiner 1957; not among the original seven B-category signs,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
B12,B,Woman and her occupations,Standing or alternate woman figure B12,none,determinative,uncertain — standing or alternate woman form,female person,variant or later contexts,uncertain; possible later Unicode addition; standing female figure variant; not in Gardiner 1957,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C13,C,Anthropomorphic deities,Uncertain deity figure C13,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; Wikipedia shows C12 then C17 as the 19th Dynasty additions with C13–C16 in between; these may be numbering gaps or supplemental non-standard signs; verify with primary Gardiner source,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C14,C,Anthropomorphic deities,Uncertain deity figure C14,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; possible gap between Amun (C12) and Montu (C17); may not correspond to an actual standard Gardiner sign,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C15,C,Anthropomorphic deities,Uncertain deity figure C15,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; possible gap in C-series numbering; check primary sources before relying on this entry,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C16,C,Anthropomorphic deities,Uncertain deity figure C16,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; likely a numbering gap or post-Gardiner supplemental addition,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
